Year,Average weight of waste,Agents repairing,Agents selling,Agents recycling,Agents landfilling,Agents storing,Agents buying new,Agents buying used,Agents buying certified,Total product,New product,Used product,New product_mass,Used product_mass,EoL-repaired,EoL-sold,EoL-recycled,EoL-landfilled,EoL-stored,EoL-new repaired weight,EoL-new sold weight,EoL-new recycled weight,EoL-new landfilled weight,EoL-new stored weight,EoL-used repaired weight,EoL-used sold weight,EoL-used recycled weight,EoL-used landfilled weight,EoL-used stored weight,Average landfilling cost,Average storing cost,Average recycling cost,Average repairing cost,Average selling cost,Recycled material volume,Recycled material value,Producer costs,Consumer costs,Recycler costs,Refurbisher costs,Refurbisher costs w margins
2020,0.062360781310163156,5,10,100,442,443,999,1,0,40921000000.0,40921000000.0,0.0,2602673722.358042,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.006051336439528766,0.0021541540167582746,0.12195733046489199,0.2590257119007394,-0.17659540974674956,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.06106501304191908,0,57,894,14,35,5,995,0,47713886000.0,47713886000.0,0.0,2926097720.7503233,0.0,0,1807008.3450691858,87812685.94673339,102240422.34552337,5017736.445769222,0,136188.64175512723,6747634.395683195,5551851.338381627,382452.4389549443,0,0,0.0,0.0,0,0.0058178090112231086,0.0021541540167582746,0.034270236264733536,0.2590257119007394,-0.17633207228747394,4045718.820145389,1054991.168531509,106821.57288824758,10104806.702549549,1906765.0353688302,-67663.26107867742,-24997.698260292447
2022,0.05972962709646766,0,115,885,0,0,0,1000,0,55634391075.99874,55633248494.68429,1142581.315715044,3298899208.6963573,0.0,0,89577355.44289345,146461423.02975437,216340221.2729161,4555895.982966741,0,5719742.490072477,12097787.92857608,11295711.90979708,345907.1289756374,0,0,0.5261664913550886,0.0,0,0.0058097695927150275,0.0021541540167582746,0.04016986858835956,0.059492145160152735,-0.16941799283764902,6691646.719272942,1744962.6396705704,468445.4114126098,13023476.605734026,3538844.8804057157,-10150293.611934593,-5134818.589268897
2023,0.05836688665777374,0,205,794,0,1,0,1000,0,64869699994.6152,64812639701.01029,57060293.605676346,3720677962.0833564,60852.944073350605,0,225973736.43617442,221720747.5708693,348524032.03149015,4361641.478413,0,14447014.950351018,18794152.39469234,17602117.835917383,330026.5242910197,0,0,25.488960486409,0.04168096200155568,0,0.005801484371701125,0.0021541540167582746,0.0366189529964398,0.05281374147909813,-0.16277501832079716,10012708.894480392,2610987.0523266112,857075.4798140277,16766451.39184597,5359057.5783145595,-23940912.411179576,-12139805.248276506
2024,0.05698711329906456,0,236,764,0,0,0,1000,0,75638070193.72394,75474205157.3971,163865036.32508853,4195116021.564463,2950967.3659522897,0,425730445.562179,324982583.43133783,502051244.23152596,1621878.4149620417,0,27056834.070520904,27810624.118812516,24565089.409628257,127589.55484892368,0,0,94.88918322091587,0.04168096200155568,0,0.005793029433443266,0.0021541540167582746,0.03229465235005207,0.046215828715003494,-0.1563925185604478,14465509.591845475,3772131.862380981,1238489.6088742386,19551732.26823587,7447931.941398306,-45813169.82445474,-23252422.326899674
2025,0.055598969189164155,0,250,749,1,0,0,1000,0,88193989845.88063,87864546113.20026,329443732.67992455,4729874630.734955,8308037.6670336975,0,702420287.1768997,466828665.7220318,680652837.5713334,757957.8842001897,0,44180977.93804759,40021425.90866899,32290531.40060827,63566.530667456165,0,0,1387.923730133024,1.8025322630298657,0,0.005784468816742946,0.0021541540167582746,0.028221565042428523,0.040919437293658475,-0.15026028019531196,20437524.597601358,5329438.083969482,1588391.6935566012,22451378.966201585,9829300.223200561,-75195954.0951779,-38143862.785986505
2026,0.054209698950969866,0,253,747,0,0,0,1000,0,102834192160.29462,102268913645.75478,565278514.5415243,5332977271.96999,16367618.065996477,0,1079093590.8498359,660458412.442681,888076780.4863136,344564.9099360658,0,67008726.65242457,56524869.32805951,40855244.28845484,27714.76917244023,0,0,10019.78584949959,9.28872578475624,0,0.005775856264851931,0.0021541540167582746,0.02485001911512271,0.03703700992246521,-0.1443684903357247,28391160.45871491,7403486.22330329,1877015.775947761,24880625.70812801,12502667.788266953,-115090162.51896785,-58359395.632820904
2027,0.05282533692132992,0,249,751,0,0,0,1000,0,119904668058.90309,119014501920.79253,890166138.1129245,6013391415.546736,27507664.358435743,0,1580112901.620285,921837216.1877154,1129214850.9175115,82578.8765301443,0,96694584.4026114,78632555.71160544,50385597.31553922,5883.200619676327,0,0,42156.660679318295,37.13677384969593,0,0.00576723672605064,0.0021541540167582746,0.022017840707492135,0.033716298329796064,-0.13870772086092853,38859414.37395443,10133264.520186067,2069885.8511065866,27270844.400146954,15439182.911076011,-167279839.2274406,-84853821.86531003
2028,0.0514508847429268,0,237,763,0,0,0,1000,0,139808842956.6815,138482420323.34076,1326422633.343095,6781019248.358686,42400708.322815716,0,2233672501.2793164,1268347909.858569,1409554098.3482964,0.0,0,134505578.02440244,107777099.83887304,61009628.96348814,0.0,0,0,130365.16163641577,37.13677384969593,0,0.0057586476395638,0.0021541540167582746,0.019562254655466856,0.030998162080033764,-0.13326891333206853,52382811.58459135,13659724.281730464,2136054.030934216,28975046.72552703,18614196.05450453,-234393385.27473056,-118766322.28975803
2029,0.05009046351667033,0,226,774,0,0,0,1000,0,163017110887.49374,161117030011.77835,1900080875.715109,7647065301.753047,61807930.40734486,0,3067986670.0012636,1722089600.736376,1735493899.056807,0.0,0,181585785.9589839,145672000.08449182,72872431.1467428,0.0,0,0,330776.70147437364,37.13677384969593,0,0.005750120037405051,0.0021541540167582746,0.01753180639307883,0.028573159973180093,-0.12804336449675768,69630401.55676976,18157331.730002645,2034937.5157438742,30268072.08817317,21965255.748074103,-318783888.39695615,-161365400.4004553
2030,0.04874744414096422,0,223,777,0,0,0,1000,0,190077951294.8198,187439398241.9383,2638553052.878751,8624225221.373877,86573360.41572757,0,4115490613.1026855,2304353965.422088,2114537654.2262642,0.0,0,239253682.1711186,193879550.40990743,86140105.15062743,0.0,0,0,731319.6238265167,37.13677384969593,0,0.005741679488386294,0.0021541540167582746,0.015779964270393812,0.02650874453338146,-0.12302271236201631,91178162.50456691,23776283.148069117,1742909.3492845097,32524448.42309469,25433893.720990278,-420023884.2785026,-212560251.6834719
2031,0.048347307021661644,0,198,802,0,0,0,1000,0,221630891209.75455,218058463780.2209,3572427429.535943,9727004916.363115,117511766.68562584,0,5407695353.322647,3039253249.516272,2555454120.3085494,0.0,0,308429531.5868875,254228359.06854072,101001413.83733578,0.0,0,0,1460154.0662721237,37.13677384969593,0,0.005733346906789472,0.0021541540167582746,0.014290570026516937,0.02475859525207812,-0.11819892281329925,117645274.88286197,30678040.550633457,1238520.5020349235,35479458.94312445,28941856.463757914,-541014960.0884618,-273832993.05630493
2032,0.047914186611052303,0,187,813,0,0,0,1000,0,231604281314.20035,226871405579.67838,4732875734.51737,10971883222.11058,155480265.4414245,0,6971933144.757442,3955739906.856415,2682361034.40567,0.0,0,390809021.8490099,327497482.6346703,102886157.16825654,0.0,0,0,2693724.0005622064,37.13677384969593,0,0.005730864310293218,0.0021541540167582746,0.013035382777076013,0.02327292240020959,-0.11356427675819851,150381253.02342087,39214513.14471482,-1797453.640344283,39841834.51283512,32237007.307339218,-682308321.0974025,-345215429.4767223
2033,0.04745098729248948,0,173,827,0,0,0,1000,0,242026473973.32977,235877831994.12177,6148641979.212635,11319601110.737082,201266183.88390964,0,8841230467.881964,5076396688.596393,2812054138.7952223,0.0,0,487649172.87199503,414491836.3208696,104675115.914496,0.0,0,0,4663502.154233362,37.13677384969593,0,0.0057281770734388116,0.0021541540167582746,0.011978496414547218,0.022000615239770985,-0.10911135777424875,190051383.63737082,49559185.9489174,-5616111.286409049,44964639.75195637,35187895.38131777,-846564927.5818661,-428204433.1287289
2034,0.04696044451987401,0,159,841,0,0,0,1000,0,252917665302.13074,245066487302.327,7851177999.807285,11664450770.951954,255474866.21366146,0,11041967295.703032,6429791424.260031,2944371350.345456,0.0,0,599669967.8762742,516081078.58988476,106363401.18002006,0.0,0,0,7660614.41458888,37.13677384969593,0,0.005725303216078752,0.0021541540167582746,0.011056216226700815,0.020846015771321617,-0.10483304024106893,237497057.87642258,61931466.26112746,-10315197.517245883,52200890.2406339,37639059.02365253,-1033583209.1182163,-522820712.44041204
