,Year,Average weight of waste,Agents repairing,Agents selling,Agents recycling,Agents landfilling,Agents storing,Agents buying new,Agents buying used,Agents buying certified,Total product,New product,Used product,New product_mass,Used product_mass,End-of-life - repaired,End-of-life - sold,End-of-life - recycled,End-of-life - landfilled,End-of-life - stored,eol - new repaired weight,eol - new sold weight,eol - new recycled weight,eol - new landfilled weight,eol - new stored weight,eol - used repaired weight,eol - used sold weight,eol - used recycled weight,eol - used landfilled weight,eol - used stored weight,Average landfilling cost,Average storing cost,Average recycling cost,Average repairing cost,Average selling cost,Recycled material volume,Recycled material value,Producer costs,Consumer costs,Recycler costs,Refurbisher costs,Refurbisher costs w margins
0,2020,0.062360781310163156,5,10,100,442,443,999,1,0,40921000000.0,40921000000.0,0.0,2602673722.358042,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.006073236439528775,0.0021050652527231386,0.12012365875167764,0.26414591448564034,-0.1941519882199553,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021,0.06106501304191908,0,57,882,17,44,3,997,0,47713886000.0,47713886000.0,0.0,2926097720.7503233,0.0,0,1350700.0642691297,84307229.83274974,101265934.05247152,8561057.803739838,0,102116.73454614067,6483531.069736192,5476412.340361388,651275.411498955,0,0,0.0,0.0,0,0.005839709011223113,0.0021050652527231386,0.034281539279290514,0.26414591448564034,-0.19386247055149228,3884214.9369577114,1065012.7987671618,212368.95574134184,9448269.761319421,1778287.8863799225,-16027.91696119841,3442.9800023526
2,2022,0.05972962709646766,0,0,1000,0,0,0,1000,0,55634391075.99874,55633537021.42137,854054.5786088503,3298899208.6963573,0.0,0,80647621.06522189,149186528.8335296,215309402.387911,8343792.441821391,0,4944384.249653277,12408503.553632367,11216794.153580245,635087.7041759299,0,0,0.40298109967387213,0.0,0,0.005831669592715031,0.0021050652527231386,0.03788089370741982,0.0588126021117283,-0.18626101435385206,6811233.58799871,1867571.971259937,607212.3105038452,14326905.61264522,3406181.21082441,-16027.91696119841,3442.9800023526
3,2023,0.05836688665777374,0,155,845,0,0,0,1000,0,64869699994.6152,64818392102.874084,51307891.74193655,3720693328.7808156,45486.24661794741,0,211536945.66167447,227588724.98174453,347571888.01338804,7536187.424940709,0,13216524.977158118,19392051.09295056,17527139.927651737,573902.3570350618,0,0,23.496613836967903,0.0,0,0.005823384371701136,0.0021050652527231386,0.0353405205478263,0.05572717338529489,-0.17895761551698033,10270985.182484306,2816201.176514026,1057807.4697765412,18744566.38685203,5171152.50506492,-13661005.972256929,-6663111.633286028
4,2024,0.05698711329906456,0,223,776,0,1,0,1000,0,75638070193.72394,75485448738.10222,152621455.62000656,4195413789.376983,2653199.5534272227,0,405494365.59763634,331788365.3380709,501178168.3641315,5457876.439813268,0,25403389.369927302,28493559.611956894,24493837.385786176,411965.0672523808,0,0,86.15069562547926,0.0,0,0.005814929433443271,0.0021050652527231386,0.031581012140865235,0.04857153191945113,-0.1719405870445966,14764225.375025436,4048202.5952458703,1535631.4142884521,21354832.828545183,7153319.392323323,-36856943.71119707,-17832410.766961697
5,2025,0.055598969189164155,0,238,762,0,0,0,1000,0,88193989845.88063,87881475692.32983,312514153.5503419,4730447822.937255,7734845.464730737,0,678508136.280395,473781925.76135653,679681744.0230335,2530921.208921602,0,42265673.09923856,40729636.62444952,32209728.629199248,191488.45675770307,0,0,1265.0818649298794,0.7737821318075062,0,0.005806368816742951,0.0021050652527231386,0.027673879859209667,0.04211407763594285,-0.16519870019409924,20742449.51681548,5687371.726780093,2019145.405837514,23326688.49011743,9399917.749428261,-69592906.27992861,-33592133.76020552
6,2026,0.054209698950969866,0,249,751,0,0,0,1000,0,102834192160.29462,102290258336.95935,543933823.3368518,5333827231.428346,15517658.607642474,0,1049732368.5231692,666534648.6938525,887169112.0420939,719311.7781465594,0,64733132.798319794,57169676.77613779,40777015.34008346,54871.40162050073,0,0,9290.502072743084,0.7737821318075062,0,0.005797756264851934,0.0021050652527231386,0.024559331449944793,0.03798001182543488,-0.15872116650818138,28660060.294125337,7858301.232575262,2489555.7491736114,24659113.71320845,11877804.09277681,-113455681.73116441,-54702214.24000684
7,2027,0.05282533692132992,0,252,748,0,0,0,1000,0,119904668058.90309,119040915501.30295,863752557.6023506,6014449930.132169,26449149.77299423,0,1543241725.238007,925607480.4092643,1128379619.0538642,208513.66991321207,0,93960470.8629623,79087274.5539632,50310198.756499425,15564.11936621635,0,0,39625.03337516178,0.7737821318075062,0,0.005789136726050645,0.0021050652527231386,0.021746035532275693,0.034705494881663065,-0.15249762055099803,39035959.73998312,10703268.848403143,2925787.071675142,24767519.92312582,14580021.988638377,-171539988.88556978,-82552169.59435894
8,2028,0.0514508847429268,0,238,762,0,0,0,1000,0,139808842956.6815,138515446289.56668,1293396667.1169467,6782310123.876969,41109832.80452748,0,2187858736.645245,1268424985.1590946,1408814075.954451,0.0,0,131256534.58476359,107924993.32372679,60937840.670876086,0.0,0,0,123814.784908589,0.7737821318075062,0,0.005780547639563793,0.0021050652527231386,0.019352305511257346,0.03175237243736244,-0.14651810332125723,52415221.54104903,14371728.315106168,3308646.1873101206,24727027.98950156,17460033.63053531,-244800992.1217493,-117761417.75962168
9,2029,0.05009046351667033,0,230,770,0,0,0,1000,0,163017110887.49374,161158141761.4448,1858969126.04852,7648650334.583596,60222897.576801606,0,3013580448.164083,1715025781.6153703,1734870301.6784737,0.0,0,177910455.86007637,145241746.7425933,72804913.77211526,0.0,0,0,316967.120241088,0.7737821318075062,0,0.005772020037405051,0.0021050652527231386,0.017361199065203507,0.029357816546600645,-0.14077304631569287,69391372.45110622,19026418.71881866,3619521.924432592,23606588.66006551,20454644.14126858,-336450585.11908436,-161719198.64762145
